ORG,ORG_NAME,PCD,LAT,LNG
GLO,Gloucestershire Hospitals NHS FT,GL1 3NN,51.866088,-2.2338867
GWH,Great Western Hospitals NHS FT,SN3 6BB,51.538161,-1.7276925
MUS,Somerset NHS FT (Musgrove Park),TA1 5DA,51.01197,-3.1197783
NBT,North Bristol NHS Trust,BS10 5NB,51.497333,-2.5929485
RCHT,Royal Cornwall Hospitals NHS Trust,TR1 3LJ,50.266686,-5.0914501
RDUE,Royal Devon University Healthcare NHS FT (Exeter),EX2 5DW,50.716712,-3.5066801
RDUN,Royal Devon University Healthcare NHS FT (North Devon),EX31 4JB,51.092201,-4.0511326
RUH,Royal United Hospitals Bath NHS FT,BA1 3NG,51.392764,-2.3905661
TOR,Torbay and South Devon Hospital NHS FT ,TQ2 7AA,50.482325,-3.5537901
UHBW,University Hospitals Bristol and Weston NHS FT,BS1 3NU,51.459157,-2.5924679
UHP,University Hospitals Plymouth NHS Trust,PL6 8DH,50.41672,-4.1136845
YEO,Somerset NHS FT (Yeovil),BA21 4AT,50.945297,-2.6339071
